Index	Annotator	Subset	Genre	ID	Complex_binary	Complex_probabilistic	Start_index	End_index	Native_complex	Non_native_complex	Expression	Context	Annotation
20	0	Train	Wikipedia	3EAWOID6MTYIMFHO2F1YUV5SHN4V09	1	0.1	38	60	1	1	pair and knuckle frame	The roof of the nave is composed of a pair and knuckle frame , coated inside by pieces of tracery .	not MWE but contains MWE(s)
21	0	Train	Wikipedia	3PZDSVZ3J5IMDYQGJP29WH1SCWIN40	1	0.1	0	25	1	1	Repentant and rededicated	Repentant and rededicated , Faith returned as a heroine in other episodes of Angel and in the last five episodes of Buffy .	not MWE
22	0	Train	Wikipedia	3126F2F5F8448LZMOARE9SIEP0DPE4	1	0.05	135	155	1	0	defending themselves	They are used for digging for roots and stripping the bark off trees for food , for fighting each other during mating season , and for defending themselves against predators .	not MWE
23	0	Train	News	3RDTX9JRTY2Y7J45KDHBHSQIUXR97F	1	0.25	99	124	4	1	collapsed property sector	The government will also charge two independent auditing firms with valuing banks' exposure to the collapsed property sector, ministers told a news conference after a cabinet meeting.	not MWE but contains MWE(s)
24	0	Test	News	3W5PY7V3UP86SFDFTYYOJZOIVEFJYF	1	0.05	116	139	0	1	Kremlin-dominated media	The allegations have fired up the opposition, which has long seen its protests crushed and its pleas ignored by the Kremlin-dominated media.	not MWE
25	0	Train	WikiNews	39I4RL8QGJIU3245GR7WRX4WPD1H4Y	1	0.1	35	48	0	2	young surface	#20-9 This means it must be a very young surface".	not MWE
26	0	Train	WikiNews	3R4QIDVOJPD0BUAWFWB3FGJAAM3EEL	1	0.1	149	167	0	2	corrupt plutocrats	#29-13 He also criticizes Bush for his alleged economic benefit from the collapse of Lehman Brothers, labeling Bush as a "front man for a handful of corrupt plutocrats that have raped [the nation's] economy."	not MWE
27	0	Train	Wikipedia	3HYV4299H0XJ2T052TP3N6NO0QD8E3	1	0.05	10	48	1	0	Clarinet Concerto and Clarinet Quintet	Mozart 's Clarinet Concerto and Clarinet Quintet are both in A major , and generally Mozart was more likely to use clarinets in A major than in any other key besides E-flat major .	not MWE
28	0	Train	WikiNews	33NOQL7T9O0HDOR1YG3G8GO6NPE8ZM	1	0.05	42	61	0	1	vehicle rolled over	#14-4 Local media reports an airport fire vehicle rolled over while responding.	not MWE but contains MWE(s)
29	0	Train	News	3126F2F5F8448LZMOARE9SIEM1GEPV	1	0.25	57	76	3	2	suspicion of murder	A 26-year-old man is still being questioned by police on suspicion of murder.	not MWE
30	0	Test	News	3SV8KD29L4T18PT2750JYLXXFKGKZC	1	0.25	0	16	3	2	Successive waves	Successive waves of bank sector clean-ups have failed to convince investors.	not MWE
31	0	Train	News	3ZG552ORAM5PIPK2H25CDJY7BMRV2V	1	0.45	33	48	4	5	fatally injured	When police arrived they found a fatally injured 17-year-old girl in the front yard of the house, which is in a quiet neighborhood of single family residences.	not MWE
32	0	Train	News	3S8APUMBJXKUA5Y80GTJWQYPHYGFBT	1	0.7	74	94	10	4	domestic disturbance	WKMG-TV, Orlando, Fla., reported police had been called to the home for a domestic disturbance a few weeks ago.	MW compounds
33	0	Train	News	311HQEI8RSHDDAMIOBBAUGSBADJ7ZN	1	0.65	94	109	6	7	ballot stuffing	Gorbachev added that authorities "must admit that there have been numerous falsifications and ballot stuffing."	MW compounds
34	0	Train	News	3MA5N0ATTCCXEUOXWIGCZH3FYICKWM	1	0.65	129	140	10	3	pool report	Obama left the U.S. around 12 a.m. early Tuesday morning and landed at Bagram Air Field at 10:30 p.m. local time, according to a pool report.	MW compounds
35	0	Train	News	3J94SKDEKIQVN533807G54VCVPED5F	1	0.55	78	94	5	6	life threatening	He was taken to Tallaght General Hospital, his injuries are not thought to be life threatening.	MW compounds
36	0	Train	News	362E9TQF2HRABD89HARI0Y2ECQXGI8	1	0.55	94	110	7	4	convertible bond	Banks which are unable to raise the extra capital will have access to a five-year loan, via a convertible bond, from the state at an interest rate of 10%, they added.	MW compounds
37	0	Train	News	3ZUE82NE0A2B8701X4995O8O8R7F83	1	0.55	115	131	7	4	spring offensive	They said it was in response to the  U.S. president's visit and promised more attacks as they launch their  usual "spring offensive" across the country.	MW compounds
38	0	Train	News	3IJ95K7NDXD2PEJ0EQ4A56YVYPRNGV	1	0.55	74	87	7	4	assets freeze	An EU diplomat confirmed, however, that the ministers agreed to impose an assets freeze and visa ban on two firms and three people believed to provide funding for the regime.	MW compounds
39	0	Train	News	3WA2XVDZEMIWYFHH9ES53SRXQJN6EN	1	0.55	0	12	6	5	Toxic assets	Toxic assets now total 184bn euros, but many fear the hole is even bigger.	MW compounds
40	0	Train	News	362E9TQF2HRABD89HARI0Y2ECQXGI8	1	0.5	51	68	6	4	financial cushion	The move will provide an extra 30bn euros (24.1bn) financial cushion, taking total provisions against real estate assets to 137bn euros (110bn), worth 45% of the banks' portfolios.	MW compounds
41	0	Train	News	35F6NGNVM8KHRYDJIJMS8SRUPHX7T7	1	0.5	16	30	5	5	sledge hammers	Protesters used sledge hammers and their bare hands to tear apart the embassy's security wall.	MW compounds
42	0	Train	News	3J94SKDEKIQVN533807G54VCVPED5F	1	0.4	44	74	6	2	forensic technical examination	The car has been removed from the scene for forensic technical examination.	MW compounds
43	0	Train	News	32K26U12DNPCLZIIERPT92PB70DDVS	1	0.4	131	148	7	1	big bang solution	The successive rounds of financial system reform have not helped to build the necessary credibility for the system, and short of a big bang solution that specifies where the money to recapitalize the banks is going to come from, today's (Friday's) reforms might disappoint markets, Barroso said in a note.	MW compounds
44	0	Train	News	3K3IX1W4S6S1I8IA85PSD9SN0LUPAK	1	0.4	100	110	3	5	safe haven	They will know that the United States can achieve our goals of destroying al-Qaida and denying it a safe haven, but at the same time we have the capacity to wind down this war and usher in a new era of peace here in Afghanistan.	MW compounds
45	0	Train	News	362E9TQF2HRABD89HARI0Y2ECQXIGA	1	0.4	104	125	6	2	toxic property assets	A Spanish government source, however, later said that banks able to cover by themselves losses on their toxic property assets will not be forced to remove them from their books while it will be compulsory for those receiving public help.	MW compounds
46	0	Train	News	3GKAWYFRAPUZGFLMSFGU3A0TLCCDP7	1	0.35	88	98	5	2	bad assets	The government has already forced banks to make provisions of 54 billion euros to cover bad assets.	MW compounds
47	0	Train	News	30Y6N4AHYPXKSS1157KJ8508MU0DRZ	1	0.15	190	211	3	0	eurozone bailout fund	The big question is whether the Spanish state can afford on its own to put into these banks the sort of capital that is necessary or whether they will have to go for emergency help from the eurozone bailout fund or the IMF, said BBC business editor Robert Peston.	MW compounds
48	0	Train	WikiNews	3PMR2DOWOO2IN9KAFP6N2016K4A454	1	0.4	71	92	4	4	diffuse axonal injury	#21-6 Bianchi's helmet became wedged underneath the tractor, causing a diffuse axonal injury, and he fell into a coma.	MW compounds
49	0	Train	WikiNews	3H1C3QRA01KLEWQIJ558PSJ7PAQECS	1	0.1	125	145	1	1	low flying jumbo jet	#24-29 On the day the plane went missing, residents on the small Maldive island of Kudahuvadhoo claimed to have seen a very "low flying jumbo jet" crash into the Indian Ocean.	MW compounds
50	0	Train	WikiNews	3AXFSPQOYQZ0SOWKO860UEH2RVEJFT	1	0.05	61	77	0	1	aerated concrete	#42-31 We then housed the ants in nests I made using Y-tong [aerated concrete].	MW compounds
51	0	Train	Wikipedia	3HYV4299H0XJ2T052TP3N6NO0QD8E3	1	0.05	75	82	0	1	A major	Johannes Brahms , César Franck , and Gabriel Fauré wrote violin sonatas in A major .	MW compounds
52	0	Dev	News	3ZXNP4Z39RMT8L5E9AK1M1HDU3N7LD	1	0.15	97	110	1	2	turning point	On the anniversary of bin Laden's killing, Crocker said he did not believe there would be a sole turning point in the war.	MW compounds
53	0	Train	News	3TZ0XG8CBUL27X9OUI9HVSMD5HX982	1	0.2	95	119	2	2	toxic real estate assets	At its weekly cabinet meeting, the government will approve a plan to force banks to park their toxic real estate assets in holding companies that would later sell them off, a move that could deepen losses for the lenders.	MW compounds
54	0	Train	News	3SCKNODZ0XHJWL8ZLN0GZTL20ZB7N6	1	0.15	0	16	2	1	Antitrust issues	Antitrust issues were a major reason that regulatory boards had to mull over before approving the deal.	MW compounds
55	0	Train	Wikipedia	3909MD9T2ZISH8ASA7V9XY4ANUQFER	1	0.05	155	168	0	1	lesser extent	The skull of Epidexipteryx is also unique in a number of features , and bears an overall similarity to the skull of Sapeornis , oviraptorosaurs and , to a lesser extent , therizinosauroids .	MW compounds
56	0	Train	Wikipedia	36FFXPMST9PY7VENZBM55VA17B9HOV	1	0.1	17	34	1	1	higher proportion	Al - ` Ain has a higher proportion of Emirati nationals than elsewhere in the country , but the majority of its residents are expatriates particularly from the Indian sub-continent .	MW compounds
57	0	Train	WikiNews	368IUKXGA590V667IS8GX4Q17VH6PD	1	0.1	7	26	2	0	Republican Senators	#13-18 Republican Senators set a date of January 27 to repeal Obamacare, according to NBC News.	MW compounds
58	0	Train	News	3909MD9T2ZISH8ASA7V9XY4AKVTFET	1	0.2	47	70	2	2	Exclusive Economic Zone	Panatag/Scarborough is within the Philippines' Exclusive Economic Zone and Continental Shelf, the DFA added.	MW named entities
59	0	Train	News	3WRBLBQ2GR9Z4IRTDK2CUU2IR9J0GR	1	0.15	262	274	2	1	Alawite sect	In northern Lebanon, meanwhile, residents said running gunbattles broke out in the city Saturday and continued through Sunday morning, primarily between a neighborhood populated by Sunni Muslims opposed to Assad and another area with many Assad backers from his Alawite sect.	MW named entities
60	0	Train	WikiNews	3QO7EE372OOR1UOHEW4D8P23QSEBQU	1	0.1	15	41	0	2	Operation Atlantic Resolve	#10-12 Part of Operation Atlantic Resolve, the deployment is set to include Abrams tanks, Bradley Fighting Vehicles, and Paladin artillery.	MW named entities
61	0	Train	WikiNews	3EKZL9T8Y8NXY6HK96DEAVGKHQIHCB	1	0.1	7	19	1	1	Birther King	#29-1 'Birther King' announces 2016 campaign for U.S. president Via press release on Friday, Andy Martin, a perennial candidate for political office and self-proclaimed "Birther King", announced he is seeking the U.S. Republican Party's 2016 presidential nomination, his fourth bid for the White House.	MW named entities
62	0	Train	Wikipedia	36FFXPMST9PY7VENZBM55VA17B9HOV	1	0.1	29	49	2	0	Emirate of Abu Dhabi	Al - ` Ain is located in the Emirate of Abu Dhabi , inland on the border with ` Oman .	MW named entities
63	0	Train	Wikipedia	3N5YJ55YXG41FN6XSQC09KNS46EANY	1	0.1	0	39	1	1	Voruzhonnije Síly Rossíyskoj Federátsii	Voruzhonnije Síly Rossíyskoj Federátsii ) are the military services of Russia , established after the dissolution of the Soviet Union .	MW named entities
64	0	Train	Wikipedia	3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ	1	0.05	41	77	1	0	Chapel of Nuestra Señora del Rosario	Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .	MW named entities
65	0	Train	Wikipedia	3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ	1	0.05	51	77	1	0	Nuestra Señora del Rosario	Another Baroque piece that stands is the Chapel of Nuestra Señora del Rosario , which is a recognizable feature of the architecture of Quito .	MW named entities
66	0	Train	WikiNews	3LXX8KJXPWA5SPW41ZYDSECDNRTO9P	1	0.35	20	33	5	2	Formica fusca	#42-10 In the wild, Formica fusca can encounter similar chemicals in aphids and dead ants.	MW named entities
67	0	Train	WikiNews	3OPLMF3EU5OIB6X1PH1QIY33XB5LN4	1	0.35	66	84	5	2	Beauveria bassiana	#42-35 We infected the ants by preparing a solution of the fungus Beauveria bassiana.	MW named entities
68	0	Train	WikiNews	33NOQL7T9O0HDOR1YG3G8GO6NPE8ZM	1	0.25	34	49	5	0	Squadron Leader	#14-3 The pilot was identified as Squadron Leader Dilokrit Pattavee.	MW named entities
69	0	Train	Wikipedia	3I7KR83SNAEM2YBP376KLXV44TRK9O	1	0.15	85	95	1	2	Dammar gum	Various species of kauri give diverse resins such as kauri copal , Manilla copal and Dammar gum .	MW named entities
70	0	Train	WikiNews	3E24UO25QZRIA6U63SV184LBXQL6OW	1	0.1	422	442	1	1	Vice President-elect	#13-3 "We're working with legislative leaders at this very moment to begin to craft legislation that will repeal the most corrosive elements of Obamacare — the individual mandate, the taxes, the penalties — but at the same time, moving separate legislation that will allow us to introduce the kind of reforms in American health care that'll lower the cost of health insurance without growing the size of government," said Vice President-elect Mike Pence.	MW named entities
71	0	Test	News	3JUDR1D0D6SXDHOLV3B27WZZUUC2Q8	1	0.25	58	72	3	2	state of shock	People I have spoken to in the area this morning are in a state of shock,' he said. '	fixed phrase
72	0	Train	News	3BS6ERDL938R693HDJHLXA9CQ7M6DU	1	0.3	19	38	4	2	the tide has turned	He also said that "the tide has turned" over the last three years.	fixed phrase
73	0	Train	News	3PN6H8C9R4RSTBFK3WYXDFBYN3FADI	1	0.15	67	90	3	0	crimes against humanity	He has denied charges of genocide, murder acts of terror and other crimes against humanity.The most infamous of the charges accuses Mladic of overseeing the massacre  of 8 thousand Muslim boys and men in Srebrenica in Eastern Bosnia in 1995.	fixed phrase
74	0	Train	WikiNews	37VE3DA4YUIEO1PEV6HJZBA2Z5IHB4	1	0.1	28	44	2	0	brothers in arms	#28-16 "We're here with our brothers in arms standing behind us because we're all hurting.	fixed phrase
75	0	Train	Wikipedia	3D17ECOUOEWYHV0NEOZSP5WJVVH31N	1	0.15	158	178	2	1	conflict of interest	They are usually one or more from among the following : vandalism , sockpuppetry , edit warring , violating the three-revert rule , spamming , editing with a conflict of interest or having a prohibited username .	fixed phrase
76	0	Train	Wikipedia	3G4VVJO6PZH7ULRWKW2H7NVJ9X9PKO	1	0.15	254	272	1	2	quacks like a duck	Even without the use of the Checkuser tool , or with a result of `` unrelated '' , an account that makes the same edits as a different blocked account , has the same linguistic peculiarities and the same general interests may remain blocked under the `` quacks like a duck '' test .	fixed phrase
77	0	Train	News	3BFF0DJK8XD3AWXB6MK33JNQBI7STL	1	0.35	97	117	4	3	spiking the football	Obama's surprise trip is sure to draw criticism from Republicans, who have accused Mr. Obama of "spiking the football" in the days leading up to the one year anniversary of the death of bin Laden.	fixed phrase
78	0	Train	WikiNews	3KQC8JMJGCT9L6L1GD2DHSCQBD5H3D	1	0.45	23	31	5	4	en route	#19-6 The aircraft was en route from Soewondo Air Force Base to Natuna.	fixed phrase
79	0	Train	Wikipedia	3YZ7A3YHR5U1PUML5Q2503HCZRLS5M	1	0.15	6	11	0	3	et al	Zhang et al. suggest that unless Epidexipteryx evolved from flying ancestors and subsequently lost its wings , this may indicate that advanced display feathers on the tail may have predated flying or gliding flight .	fixed phrase
80	0	Train	News	3X4Q1O9UBHN1E68BM20TEIL7P8S7OU	1	0.3	80	96	1	5	“under lockdown”	The U.S. embassy, which neighbors the AFP bureau in Kabul, said its embassy was “under lockdown” and warned staff to “take cover, move away from the windows.”	PP modifier
81	0	Train	News	3JY0Q5X05J7WFM2ERMRFFMPYXD5GGG	1	0.25	84	92	4	1	at stake	Our troops and the American people deserve to hear from our President about what is at stake in this war.	PP modifier
82	0	Train	Wikipedia	3UYRNV2KIT0NWZDIVSSMDTHXEIE8NS	1	0.15	63	75	2	1	on behalf of	Meatpuppets will be blocked indefinitely , too ... do n't edit on behalf of someone else , no matter how well you may know them .	PP modifier
83	0	Train	Wikipedia	3UYRNV2KIT0NWZDIVSSMDTHXEIE8NS	1	0.05	76	93	1	0	without exception	Wikipedia policy on open proxies is clear : editing through them is blocked without exception once identified .	PP modifier
84	0	Train	WikiNews	37VHPF5VYC445VGR62J8XINLE7SC8R	1	0.05	130	138	1	0	on board	#7-12 These include a Boeing 737 en route to Iran, which crashed shortly after take-off in 2008, killing 68 of at least 90 people on board.	PP modifier
85	0	Train	News	3BDORL6HKKEAN0VN5BP8OZIQ163CR1	1	0.5	42	50	7	3	shore up	This trip to Afghanistan is an attempt to shore up his national security credentials, because he has spent the past three years gutting our military, a reference to tightening defense budgets.	verb-particle or other phrasal verb
86	0	Train	News	3UEDKCTP9VRIOFNWOA80714Y53I7KA	1	0.35	109	121	5	2	winding down	In a televised address to the American people from a base north of Kabul, he said the war in Afghanistan was winding down.	verb-particle or other phrasal verb
87	0	Train	WikiNews	3E24UO25QZRIA6U63SV184LBXQL6OW	1	0.1	142	149	0	2	give in	#13-5 The filibuster is a last-ditch tactic in which parties opposed to a certain motion refuse to relinquish the floor until their opponents give in or compromise.	verb-particle or other phrasal verb
88	0	Train	WikiNews	33NOQL7T9O0HDOR1YG3G8GO6NPE8ZM	1	0.05	39	61	0	1	offered his sympathies	#14-8 Prime Minister Prayut Chan-o-cha offered his sympathies to Pattavee's relatives.	semi-fixedVP
89	0	Train	Wikipedia	3D17ECOUOEWYHV0NEOZSP5WJVVH31N	1	0.1	98	129	1	1	violating the three-revert rule	They are usually one or more from among the following : vandalism , sockpuppetry , edit warring , violating the three-revert rule , spamming , editing with a conflict of interest or having a prohibited username .	semi-fixedVP
90	0	Train	News	3P7RGTLO6EE07HLUVDKKHS6O7CCKA5	1	0.25	31	51	3	2	flexed their muscles	Both China and the Philippines flexed their muscles on Wednesday.	semi-fixedVP
91	0	Train	Wikipedia	34D9ZRXCYRVYV0Y20MTM8EXYR5MASA	1	0.05	33	42	1	0	such that	Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .	conjunction/connective
92	0	Train	Wikipedia	3VJ4PFXFJ38EADQ6PROMNFFMC27AUQ	1	0.05	0	11	1	0	To this end	To this end , areas were organized to locate objects within their cultural contexts , to make them accessible to the world , which used several rooms and spaces within the palace .	conjunction/connective
93	0	Train	Wikipedia	3UYRNV2KIT0NWZDIVSSMDTHXEIE8NS	1	0.1	100	113	1	1	regardless of	Accounts with usernames that do not conform to the username policy are often blocked indefinitely , regardless of their editing behavior .	conjunction/connective
94	0	Train	WikiNews	3LXX8KJXPWA5SPW41ZYDSECDNRTO9P	1	0.1	31	41	0	2	laced with	#42-8 Infected ants chose food laced with toxic hydrogen peroxide, whereas healthy ants avoided it.	verb-preposition
95	0	Train	Wikipedia	3W0KKJIARRAMOTSFYF06L10TKN98KN	1	0.05	52	61	0	1	billed as	Banksy 's first film , Exit Through the Gift Shop , billed as `` the world 's first street art disaster movie '' , made its debut at the 2010 Sundance Film Festival .	verb-preposition
96	0	Train	News	3126F2F5F8448LZMOARE9SIEM1GEPV	1	0.2	72	88	1	3	shock and horror	Parish priest Fr Andy Dolan told UTV the feeling in the area is one of "shock and horror."	coordinated phrase
97	0	Train	News	3B9J25CZ25EMOFV0K0PDE9NMN8MCSP	1	0.3	0	15	5	1	“Duck and cover	“Duck and cover here at the embassy.	coordinated phrase
98	0	Train	WikiNews	3IYI9285WS1TPCCAX6GZM8WZUIMJCI	1	0.1	105	122	1	1	underwent surgery	#38-5 Parker and Ward were killed, while the interviewee, Vicki Gardner, was transported to hospital and underwent surgery for her injuries, later listed in stable condition.	verb-noun(-preposition)
99	0	Train	WikiNews	3QO7EE372OOR1UOHEW4D8P23QSEBQU	1	0.1	25	36	1	1	NATO summit	#10-7 It was agreed at a NATO summit in Warsaw last year.	MW named entities
100	0	Train	News	3OYHVNTV5TZP9LFV5WP2INQTVSSKOD	1	0.35	184	198	3	4	combat mission	It was an effort to say that progress has been made and that the end is coming, however slowly, while trying to assure the Afghans that the United States will not cut and run once the combat mission ends.	MW compounds
101	0	Train	News	3M0556243SLWBEN536YSNLYJXARNFW	1	0.3	241	262	3	3	security capabilities	U.S. military's future in Afghanistan Issued twice a year to Congress, the Defense Department report said overall insurgent attacks in Afghanistan fell last year for the first drop in five years and praised Afghan forces for their increased security capabilities.	MW compounds
102	0	Train	News	3OPLMF3EU5OIB6X1PH1QIY33U6DNL1	1	0.25	26	40	3	2	leading shares	Madrid's IBEX-35 index of leading shares closed down 0.71 per cent, but at one point was off more than 3.0 per cent as even the healthiest banks suffered.	MW compounds
103	0	Train	News	3RSBJ6YZECRETZNH4LY52AYOOXZFOX	1	0.25	0	16	3	2	Dispatch records	Dispatch records released Tuesday show that authorities responded to Thomas' house on three successive days in April.	MW compounds
104	0	Train	News	31MBOZ6PAOSZK20A0RSC2N9RWF2CL2	1	0.25	99	131	5	0	electronic surveillance measures	Such measures are to include new quarters for the embassy, more guards, closed-circuit cameras and electronic surveillance measures.	MW compounds
105	0	Train	News	3WA2XVDZEMIWYFHH9ES53SRXQJN6EN	1	0.25	74	89	4	1	property bubble	Spain's banks were hit by billions of euros of losses after a decade-long property bubble burst in 2008 and concerns about them, and the country's overspending regional governments have fanned fears of a new eurozone debt crisis.	MW compounds
106	0	Train	News	338GLSUI43CTRRFAB2FEMF8PLM2SF7	1	0.2	31	48	3	1	domestic violence	Two years earlier, she filed a domestic violence complaint against Joe Johnson, but that was dismissed after a hearing.	MW compounds
107	0	Train	News	32204AGAABDAFIXPBS9X0M1ZDQLHGA	1	0.2	26	44	2	2	surveillance ships	That prompted the Chinese surveillance ships to insert themselves into the situation.	MW compounds
108	0	Train	News	32204AGAABDAFIXPBS9X0M1ZDQLHGA	1	0.2	70	87	2	2	farewell meetings	Levanon is expected to stay in Cairo for two days to hold a series of farewell meetings with Egyptian officials.	MW compounds
109	0	Train	News	3TZ0XG8CBUL27X9OUI9HVSMD5HX982	1	0.2	89	99	1	3	bad assets	The government has already obliged banks to make provisions of 54 billion euros to cover bad assets.	MW compounds
110	0	Train	News	3UEDKCTP9VRIOFNWOA80714Y53I7KA	1	0.2	141	160	4	0	security clamp-down	The insurgency also claimed their spring offensive, which began two weeks ago with attacks in Kabul, would be renewed on Thursday, despite a security clamp-down in the capital.	not MWE
111	0	Train	News	3VADEH0UHCY5I444P5BJY9MTMFMSPG	1	0.15	175	194	3	0	construction sector	The government may also disclose details on its nationalisation this week of Bankia, the Spanish bank with the highest exposure to bad property loans following a crash in the construction sector that started in 2008.	MW compounds
112	0	Train	News	3CMIQF80GNRLVI7MI5N5X9GB9MBQ6J	1	0.15	195	208	0	3	combat troops	Obama arrived at Bagram Air Field late Tuesday, then traveled to Kabul by helicopter for a meeting with President Hamid Karzai in which they signed an agreement governing the U.S. presence after combat troops withdraw in 2014.	MW compounds
113	0	Train	News	3JUDR1D0D6SXDHOLV3B27WZZTH9Q22	1	0.1	97	114	1	1	military monitors	On Saturday, the head of the U.N. observer mission, Maj. Gen. Robert Mood, said 157 civilian and military monitors were in the provinces of Daraa, Idleb, Hama and Homs, the state-run Syrian Arab News Agency reported.	MW compounds
